,areaCd,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
38,0105004,9,9,6,OLD,20232601,틴에이지 크라켄 루비,2023-07-25,86000,0.3,-14000,-14,10685100,13,-1,-7.1,1512,1,1
39,0105004,10,10,3,OLD,20231413,한 남자,2023-08-30,76000,0.3,-75350,-49.8,534350,7,-10,-58.8,63,2,4
40,0105005,1,1,0,OLD,20233014,타겟,2023-08-30,7270048,23.4,-18012215,-71.2,99861367,750,-1730,-69.8,10391,40,127
41,0105005,2,2,0,OLD,20226500,달짝지근해: 7510,2023-08-15,6077279,19.6,-17566822,-74.3,467433471,654,-1681,-72,46656,39,105
42,0105005,3,3,0,OLD,20226431,오펜하이머,2023-08-15,5126267,16.5,-15104037,-74.7,686654584,514,-1500,-74.5,68588,38,99
43,0105005,4,4,0,OLD,20204264,콘크리트 유토피아,2023-08-09,4605545,14.8,-13859699,-75.1,1187288056,484,-1391,-74.2,121140,36,104
44,0105005,5,5,1,OLD,20218541,밀수,2023-07-26,2468328,7.9,-3878000,-61.1,1724661650,258,-359,-58.2,176918,23,44
45,0105005,6,6,-1,OLD,20228930,엘리멘탈,2023-06-14,1839200,5.9,-7791700,-80.9,2290451670,192,-790,-80.4,236906,16,19
46,0105005,7,7,0,OLD,20233075,신체모음.zip,2023-08-30,1480000,4.8,-2706300,-64.6,16332400,139,-288,-67.4,1658,9,17
47,0105005,8,8,0,NEW,20232836,몬스터 패밀리 2,2023-08-02,500000,1.6,500000,100,54029786,72,72,100,6331,1,1
48,0105005,9,9,3,OLD,19548015,돌아오지 않는 강,1971-04-27,138000,0.4,18000,15,420000,69,9,15,205,1,3
49,0105005,10,10,-2,OLD,20223831,스파이 코드명 포춘,2023-08-30,660500,2.1,-1754000,-72.6,12408376,65,-163,-71.5,1270,14,24
50,0105006,1,1,0,OLD,20233014,타겟,2023-08-30,8289223,26.4,-19037373,-69.7,103748734,906,-1931,-68.1,11417,41,133
51,0105006,2,2,0,OLD,20226500,달짝지근해: 7510,2023-08-15,6507479,20.7,-17549528,-72.9,417143695,680,-1766,-72.2,43747,45,109
52,0105006,3,3,1,OLD,20204264,콘크리트 유토피아,2023-08-09,5343128,17.0,-12706262,-70.4,1209749948,582,-1302,-69.1,127480,37,114
53,0105006,4,4,-1,OLD,20226431,오펜하이머,2023-08-15,5171774,16.5,-16811133,-76.5,674795158,570,-1720,-75.1,70381,47,117
54,0105006,5,5,0,OLD,20228930,엘리멘탈,2023-06-14,1726039,5.5,-9138223,-84.1,2120753283,238,-910,-79.3,225841,13,18
55,0105006,6,6,0,OLD,20218541,밀수,2023-07-26,1907599,6.1,-5204541,-73.2,1854872064,206,-505,-71,197105,26,38
56,0105006,7,7,3,OLD,20233121,치치치 치킨의 비밀,2023-08-24,896000,2.9,499500,126,6340200,100,51,104.1,711,2,2
57,0105006,8,8,0,OLD,20223831,스파이 코드명 포춘,2023-08-30,643739,2.1,-1396261,-68.4,9835679,67,-130,-66,1070,19,27
58,0105006,9,9,0,OLD,20233075,신체모음.zip,2023-08-30,520500,1.7,-1316500,-71.7,7480300,49,-127,-72.2,800,7,13
59,0105006,10,10,3,OLD,20232631,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,89000,0.3,-108000,-54.8,1177150271,11,-12,-52.2,123328,2,2
60,0105007,1,1,0,OLD,20233014,타겟,2023-08-30,9129118,20.3,-26832759,-74.6,138542489,1027,-2735,-72.7,15243,51,174
61,0105007,2,2,0,OLD,20226500,달짝지근해: 7510,2023-08-15,8930928,19.8,-24813027,-73.5,583110693,976,-2544,-72.3,61977,50,144
62,0105007,3,3,1,OLD,20204264,콘크리트 유토피아,2023-08-09,7998173,17.7,-22185259,-73.5,1801191523,887,-2280,-72,191557,54,150
63,0105007,4,4,-1,OLD,20226431,오펜하이머,2023-08-15,8062155,17.9,-25728119,-76.1,1075143686,856,-2624,-75.4,109179,53,143
64,0105007,5,5,1,OLD,20218541,밀수,2023-07-26,3532050,7.8,-7613189,-68.3,2829731760,370,-780,-67.8,301620,34,63
65,0105007,6,6,-1,OLD,20228930,엘리멘탈,2023-06-14,2143250,4.8,-16659823,-88.6,3184910584,251,-1771,-87.6,338265,30,42
66,0105007,7,7,2,OLD,20223831,스파이 코드명 포춘,2023-08-30,1061739,2.4,-1578989,-59.8,13952793,114,-163,-58.8,1543,25,41
67,0105007,8,8,0,NEW,20219628,정직한 후보2,2022-09-28,693000,1.5,693000,100,450278422,99,99,100,49540,2,2
68,0105007,9,8,0,NEW,20174142,아이 캔 스피크,2017-09-21,693000,1.5,693000,100,1387004900,99,99,100,183575,2,2
69,0105007,10,8,0,NEW,20197121,삼진그룹 영어토익반,2020-10-21,693000,1.5,693000,100,718541520,99,99,100,84019,2,2
70,0105008,1,1,0,OLD,20233014,타겟,2023-08-30,5912646,21.4,-16419744,-73.5,85384873,621,-1644,-72.6,9093,32,117
71,0105008,2,2,0,OLD,20226500,달짝지근해: 7510,2023-08-15,5595706,20.2,-13324002,-70.4,386563605,615,-1306,-68,40058,30,92
72,0105008,3,3,0,OLD,20226431,오펜하이머,2023-08-15,5028578,18.2,-12486435,-71.3,654580605,490,-1219,-71.3,61627,31,76
73,0105008,4,4,0,OLD,20204264,콘크리트 유토피아,2023-08-09,4419028,16.0,-11693076,-72.6,1092175045,474,-1161,-71,112911,35,90
74,0105008,5,5,14,OLD,20233121,치치치 치킨의 비밀,2023-08-24,1431000,5.2,1362000,1973.9,5207350,203,197,3283.3,616,3,3
75,0105008,6,6,0,OLD,20218541,밀수,2023-07-26,1726028,6.2,-2995206,-63.4,1446828175,190,-283,-59.8,151786,24,38
76,0105008,7,7,2,OLD,20232629,마야 3: 숲속 왕국의 위기,2023-08-24,816500,2.9,81600,11.1,6752000,112,30,36.6,802,4,4
77,0105008,8,8,-3,OLD,20228930,엘리멘탈,2023-06-14,921700,3.3,-5853800,-86.4,1850725691,99,-611,-86.1,192859,10,13
78,0105008,9,9,-2,OLD,20233075,신체모음.zip,2023-08-30,973900,3.5,-1595100,-62.1,10516700,92,-172,-65.2,1094,10,18
79,0105008,10,10,-2,OLD,20223831,스파이 코드명 포춘,2023-08-30,477000,1.7,-561956,-54.1,6674510,54,-55,-50.5,763,13,20
80,0105009,1,1,0,OLD,20233014,타겟,2023-08-30,4965340,25.0,-15192479,-75.4,75426486,554,-1649,-74.9,8594,24,96
81,0105009,2,2,0,OLD,20226500,달짝지근해: 7510,2023-08-15,3962656,20.0,-11935038,-75.1,317052885,416,-1340,-76.3,34321,27,72
82,0105009,3,3,0,OLD,20204264,콘크리트 유토피아,2023-08-09,3643000,18.4,-8999301,-71.2,775781386,401,-951,-70.3,84170,23,66
83,0105009,4,4,0,OLD,20226431,오펜하이머,2023-08-15,2613206,13.2,-8555115,-76.6,406648907,271,-939,-77.6,43327,21,57
84,0105009,5,5,1,OLD,20218541,밀수,2023-07-26,1661878,8.4,-5919422,-78.1,1280465443,175,-627,-78.2,140604,12,36
85,0105009,6,6,-1,OLD,20228930,엘리멘탈,2023-06-14,1023000,5.2,-7187900,-87.5,1375278991,96,-711,-88.1,145770,9,16
86,0105009,7,7,1,OLD,20223831,스파이 코드명 포춘,2023-08-30,629228,3.2,-1169400,-65,8730958,63,-104,-62.3,904,13,21
87,0105009,8,8,-1,OLD,20233075,신체모음.zip,2023-08-30,528000,2.7,-2158400,-80.3,9408600,51,-219,-81.1,954,8,12
88,0105009,9,9,0,NEW,20232491,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,270000,1.4,270000,100,14291900,38,38,100,1692,1,1
89,0105009,10,10,-1,OLD,20232629,마야 3: 숲속 왕국의 위기,2023-08-24,241500,1.2,-1007500,-80.7,14351400,26,-113,-81.3,1615,4,5
90,0105010,1,1,2,OLD,20226500,달짝지근해: 7510,2023-08-15,3419550,22.9,-3344000,-49.4,135307550,370,-292,-44.1,13464,12,37
91,0105010,2,2,2,OLD,20233014,타겟,2023-08-30,2948350,19.7,-4001000,-57.6,29243050,311,-350,-53,3026,12,39
92,0105010,3,3,-2,OLD,20226431,오펜하이머,2023-08-15,2660000,17.8,-6916300,-72.2,303087900,283,-635,-69.2,30060,15,40
93,0105010,4,4,-2,OLD,20204264,콘크리트 유토피아,2023-08-09,2447850,16.4,-4409100,-64.3,440285600,249,-445,-64.1,44149,13,36
94,0105010,5,5,7,OLD,20227627,물꽃의 전설,2023-08-30,1688000,11.3,1404000,494.4,5108350,209,175,514.7,566,5,5
95,0105010,6,6,0,OLD,20218541,밀수,2023-07-26,659000,4.4,-2505000,-79.2,582880850,79,-192,-70.8,59491,10,14
96,0105010,7,7,2,OLD,20232629,마야 3: 숲속 왕국의 위기,2023-08-24,180000,1.2,-316000,-63.7,3230500,30,-40,-57.1,426,1,1
97,0105010,8,8,-3,OLD,20228930,엘리멘탈,2023-06-14,306000,2.0,-4227050,-93.2,847518850,28,-437,-94,87290,4,5
98,0105010,9,9,-2,OLD,20233075,신체모음.zip,2023-08-30,190000,1.3,-1033000,-84.5,3810200,19,-96,-83.5,387,2,3
99,0105010,10,10,0,OLD,20223831,스파이 코드명 포춘,2023-08-30,149000,1.0,-320000,-68.2,2498500,18,-29,-61.7,266,4,5
100,0105011,1,1,0,OLD,20226431,오펜하이머,2023-08-15,15981221,23.0,-38445702,-70.6,1747923695,1660,-3700,-69,170735,65,189
101,0105011,2,2,0,OLD,20233014,타겟,2023-08-30,14721651,21.2,-30766849,-67.6,195978442,1605,-3099,-65.9,21180,55,209
102,0105011,3,3,1,OLD,20204264,콘크리트 유토피아,2023-08-09,11277105,16.2,-29863963,-72.6,2465506163,1237,-3062,-71.2,255924,59,187
103,0105011,4,4,-1,OLD,20226500,달짝지근해: 7510,2023-08-15,11395629,16.4,-30162155,-72.6,715817352,1226,-3146,-72,75400,43,159
104,0105011,5,5,1,OLD,20218541,밀수,2023-07-26,5947939,8.6,-10221972,-63.2,3821898407,643,-1011,-61.1,402338,42,83
105,0105011,6,6,-1,OLD,20228930,엘리멘탈,2023-06-14,2484695,3.6,-15826505,-86.4,4043633522,271,-1637,-85.8,417413,29,42
